,monopoly,nash,metric,prices_0,actions_0,rewards_0,prices_1,actions_1,rewards_1
262,2.0,1.0,0.6553870357082824,2.633382001519203,0.0,0.0,2.587037447094917,0.0,0.6553870357082824
263,2.0,1.0,0.03924271327304685,2.980182272195816,0.0,0.03924271327304685,3.3766130864620205,0.0,0.0
264,2.0,1.0,0.20700754705180777,3.335557186603546,0.0,0.0,1.109498763084412,0.0,0.20700754705180777
265,2.0,1.0,0.3094384547575832,2.6578856825828554,0.0,0.0,1.1689996719360354,0.0,0.3094384547575832
266,2.0,1.0,0.3211839835100544,1.2031480789184572,0.0,0.0,1.176097083091736,0.0,0.3211839835100544
267,2.0,1.0,0.9144584144566464,3.307159948348999,0.0,0.0,2.2924749314785005,0.0,0.9144584144566464
268,2.0,1.0,0.6734684593816895,3.2551489949226378,0.0,0.0,1.42857061624527,0.0,0.6734684593816895
269,2.0,1.0,0.7081472032539219,2.5402340203523637,0.0,0.7081472032539219,2.9666404247283937,0.0,0.0
270,2.0,1.0,0.3715995817523267,1.355261540412903,0.0,0.0,1.207282888889313,0.0,0.3715995817523267
271,2.0,1.0,0.999229003415051,3.340446865558624,0.0,0.0,1.9722331747412682,0.0,0.999229003415051
272,2.0,1.0,0.6488061202098182,2.592616131901741,0.0,0.6488061202098182,3.3458938241004943,0.0,0.0
273,2.0,1.0,0.5982752786268885,2.159037832915783,0.0,0.0,1.3661824226379395,0.0,0.5982752786268885
274,2.0,1.0,0.0,1.2648607492446902,0.0,0.0,0.9502504646778109,0.0,-0.10197408690915187
275,2.0,1.0,0.0,2.478482800722122,0.0,0.0,0.9547976553440096,0.0,-0.0924479412743797
276,2.0,1.0,0.0,0.9446532607078555,0.0,-0.11375674013456163,2.066470437683165,0.0,0.0
277,2.0,1.0,0.0,1.279089975357056,0.0,0.0,0.9347364425659181,0.0,-0.1347864467971154
278,2.0,1.0,0.3653981719447156,1.2033810019493105,0.0,0.3653981719447156,2.936675798892975,0.0,0.0
279,2.0,1.0,0.898780259691392,3.2164367377758025,0.0,0.0,1.6818495005369187,0.0,0.898780259691392
280,2.0,1.0,0.33697720651991175,2.900926375389099,0.0,0.0,2.8142621159553527,0.0,0.33697720651991175
281,2.0,1.0,0.9027765225911858,1.6881932049989703,0.0,0.9027765225911858,2.24945530295372,0.0,0.0
282,2.0,1.0,0.7529055496441606,3.3777752220630646,0.0,0.0,2.4970859587192535,0.0,0.7529055496441606
283,2.0,1.0,0.9624082352149104,2.1938859581947328,0.0,0.9624082352149104,2.6863359600305556,0.0,0.0
284,2.0,1.0,0.9001310036064271,2.1245392762124538,0.0,0.0,1.6839794367551806,0.0,0.9001310036064271
285,2.0,1.0,0.9394791036006452,2.533265468478203,0.0,0.0,1.7539900481700899,0.0,0.9394791036006452
286,2.0,1.0,0.9019797737919014,3.343848967552185,0.0,0.0,2.3130818203091623,0.0,0.9019797737919014
287,2.0,1.0,0.9884643450270246,1.9058517575263978,0.0,0.0,1.8925958335399629,0.0,0.9884643450270246
288,2.0,1.0,0.3237404458945606,2.72696638405323,0.0,0.0,1.1776499807834626,0.0,0.3237404458945606
289,2.0,1.0,0.0,1.007657623291016,0.0,0.0,0.9670742332935336,0.0,-0.06693563952614147
290,2.0,1.0,0.0,2.187876305729151,0.0,0.0,0.8555908083915713,0.0,-0.30967239783785727
291,2.0,1.0,0.8637642297214609,2.3691013008356094,0.0,0.8637642297214609,2.511923682689667,0.0,0.0
292,2.0,1.0,0.4982159962418242,2.8798777580261232,0.0,0.0,2.7083671391010284,0.0,0.4982159962418242
293,2.0,1.0,0.9850117566621261,2.8664182782173158,0.0,0.0,2.122426481358707,0.0,0.9850117566621261
294,2.0,1.0,0.8480631947986922,2.1361381540074946,0.0,0.0,1.6102092802524568,0.0,0.8480631947986922
295,2.0,1.0,0.23618677086712692,3.2640882492065426,0.0,0.0,1.126035910844803,0.0,0.23618677086712692
296,2.0,1.0,0.0,2.4425138205289842,0.0,0.0,0.8219161510467532,0.0,-0.3878815551644964
297,2.0,1.0,0.0,0.9744372665882113,0.0,-0.05177892016305962,2.751404356956482,0.0,0.0
298,2.0,1.0,0.0,2.3843650817871094,0.0,0.0,0.9027542352676394,0.0,-0.20394826822310277
299,2.0,1.0,0.5338268541110763,2.6827687352895735,0.0,0.5338268541110763,3.2089243888854977,0.0,0.0
300,2.0,1.0,0.6689231319119651,1.4246072053909304,0.0,0.6689231319119651,2.1801718786358832,0.0,0.0
301,2.0,1.0,0.9715710180591028,2.1686089616268873,0.0,0.9715710180591028,3.253623217344284,0.0,0.0
302,2.0,1.0,0.9636737461104167,1.9044716730713844,0.0,0.0,1.8094055250287058,0.0,0.9636737461104167
303,2.0,1.0,0.0,3.1892332494258877,0.0,0.0,3.31241574883461,0.0,0.0
304,2.0,1.0,0.0,1.1655976474285128,0.0,0.0,0.8563750445842746,0.0,-0.3078780386496199
305,2.0,1.0,0.30950696500053665,1.4858814984560014,0.0,0.0,1.169040894508362,0.0,0.30950696500053665
306,2.0,1.0,0.6196298090772544,1.3832584083080293,0.0,0.6196298090772544,1.9661428108811378,0.0,0.0
307,2.0,1.0,0.9358114753145117,2.6268424898386002,0.0,0.0,1.7466454565525056,0.0,0.9358114753145117
308,2.0,1.0,0.9986024950316221,2.111374225188047,0.0,0.0,2.0373832177370788,0.0,0.9986024950316221
309,2.0,1.0,0.13200249846239487,1.0683361649513248,0.0,0.13200249846239487,2.593722903728485,0.0,0.0
310,2.0,1.0,0.0,2.283983197808266,0.0,0.0,0.9756438791751865,0.0,-0.049305462271259974
311,2.0,1.0,0.8897764081226386,2.5765549808740618,0.0,0.0,1.668000614643097,0.0,0.8897764081226386
312,2.0,1.0,0.27121810866906115,1.8030519992113114,0.0,0.0,1.1463127672672275,0.0,0.27121810866906115
313,2.0,1.0,0.32659720506340206,1.1793887674808503,0.0,0.32659720506340206,3.1440354108810427,0.0,0.0
314,2.0,1.0,0.0,3.1038890421390533,0.0,0.0,0.9541641294956209,0.0,-0.0937726680336524
315,2.0,1.0,0.9565817716546506,1.9053345575928688,0.0,0.0,1.7916295886039735,0.0,0.9565817716546506
316,2.0,1.0,0.02672860530423376,1.013454818725586,0.0,0.02672860530423376,3.239754843711853,0.0,0.0
317,2.0,1.0,0.34627886825947624,1.1914697706699373,0.0,0.34627886825947624,2.9581891000270844,0.0,0.0
