costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1;actions_2;prices_2;quantities_2;rewards_2;actions_3;prices_3;quantities_3;rewards_3;actions_4;prices_4;quantities_4;rewards_4
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8374925851821899;2.67498517036438;0.0;0.0;-0.956760048866272;1.0;2.0;0.0;0.21788668632507324;1.4357733726501465;0.0;0.0;-0.7805022597312927;1.0;2.0;0.0;0.6144673824310303;2.2289347648620605;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5342423319816589;1.0;2.0;0.0;-0.7098538279533386;1.0;2.0;0.0;-0.9440627694129944;1.0;2.0;0.0;-0.7133306860923767;1.0;2.0;0.0;-0.12413065135478973;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.23157398402690887;1.4631479680538177;0.0;0.0;0.27696746587753296;1.553934931755066;0.0;0.0;0.9586385488510132;2.9172770977020264;0.0;0.0;-0.13042767345905304;1.0;2.0;0.0;-0.16816020011901855;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.1364244669675827;1.0;2.0;0.0;-0.8181296586990356;1.0;2.0;0.0;-0.560882031917572;1.0;2.0;0.0;0.26654309034347534;1.5330861806869507;0.0;0.0;-0.9207071661949158;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6860297322273254;1.0;2.0;0.0;-0.5966099500656128;1.0;2.0;0.0;-0.6831119060516357;1.0;2.0;0.0;0.1218523308634758;1.2437046617269516;0.0;0.0;-0.5947725772857666;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.4387800097465515;1.0;2.0;0.0;-0.5935953855514526;1.0;2.0;0.0;0.20428141951560974;1.4085628390312195;0.0;0.0;-0.8560145497322083;1.0;2.0;0.0;0.18518567085266113;1.3703713417053223;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.20339436829090118;1.0;2.0;0.0;-0.6887757778167725;1.0;2.0;0.0;-0.0951089933514595;1.0;2.0;0.0;-0.9260159730911255;1.0;2.0;0.0;-0.563984751701355;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.46119555830955505;1.0;2.0;0.0;0.840991735458374;2.681983470916748;0.0;0.0;-0.9549403786659241;1.0;2.0;0.0;0.04711411893367767;1.0942282378673553;0.0;0.0;0.6037412285804749;2.2074824571609497;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9533122181892395;1.0;2.0;0.0;-0.4442816972732544;1.0;2.0;0.0;-0.9840099811553955;1.0;2.0;0.0;0.5939228534698486;2.1878457069396973;0.0;0.0;0.9916770458221436;2.983354091644287;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6067850589752197;1.0;2.0;0.0;-0.03743808716535568;1.0;2.0;0.0;0.23791679739952087;1.4758335947990417;0.0;0.0;-0.11057058721780777;1.0;2.0;0.0;-0.10898573696613312;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.3124384582042694;1.0;2.0;0.0;-0.27767524123191833;1.0;2.0;0.0;-0.649492621421814;1.0;2.0;0.0;-0.8454131484031677;1.0;2.0;0.0;-0.1840640753507614;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6884399652481079;1.0;2.0;0.0;-0.04595644772052765;1.0;2.0;0.0;0.8235695362091064;2.647139072418213;0.0;0.0;0.9401793479919434;2.8803586959838867;0.0;0.0;0.13131195306777954;1.262623906135559;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9861400723457336;1.0;2.0;0.0;0.20042504370212555;1.400850087404251;0.0;0.0;0.7166725397109985;2.433345079421997;0.0;0.0;-0.5754315853118896;1.0;2.0;0.0;-0.26404818892478943;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7369785308837891;2.473957061767578;0.0;0.0;-0.13177280128002167;1.0;2.0;0.0;-0.8043819665908813;1.0;2.0;0.0;-0.07411814481019974;1.0;2.0;0.0;0.8978520631790161;2.7957041263580322;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9206186532974243;2.8412373065948486;0.0;0.0;0.3466360569000244;1.6932721138000488;0.0;0.0;-0.7243435382843018;1.0;2.0;0.0;-0.8039599061012268;1.0;2.0;0.0;-0.5237183570861816;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6065224409103394;1.0;2.0;0.0;0.1322420984506607;1.2644841969013214;0.0;0.0;-0.27876806259155273;1.0;2.0;0.0;-0.2833796441555023;1.0;2.0;0.0;0.7015845775604248;2.4031691551208496;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.748977541923523;1.0;2.0;0.0;-0.7334267497062683;1.0;2.0;0.0;0.8262646794319153;2.6525293588638306;0.0;0.0;0.603023886680603;2.206047773361206;0.0;0.0;-0.6658469438552856;1.0;2.0;0.0
