	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
0	[2.227424383163452, 1.650529384613037]	[0, 1.349470615386963]	[0.0, 0.8778702889810575]	1.0	2.0	1.0	0.43893514449052873
1	[1.7007434368133545, 1.718923568725586]	[1.2992565631866455, 0]	[0.9104455093897172, 0.0]	1.0	2.0	1.0	0.4552227546948586
2	[1.2782517671585083, 1.4514594078063965]	[1.7217482328414917, 0]	[0.4790794883901839, 0.0]	1.0	2.0	1.0	0.23953974419509194
3	[1.1886235475540161, 1.5536597967147827]	[1.8113764524459839, 0]	[0.34166825241617005, 0.0]	1.0	2.0	1.0	0.17083412620808502
4	[1.0104056596755981, 1.7088358402252197]	[1.9895943403244019, 0]	[0.02070304159791192, 0.0]	1.0	2.0	1.0	0.01035152079895596
5	[1.8319306373596191, 1.6295394897460938]	[0, 1.3704605102539062]	[0.0, 0.8627590103424154]	1.0	2.0	1.0	0.4313795051712077
6	[1.3157649040222168, 1.1269882917404175]	[0, 1.8730117082595825]	[0.0, 0.23785055724168558]	1.0	2.0	1.0	0.11892527862084279
7	[0.8555068373680115, 0.8339026570320129]	[0, 2.166097342967987]	[-0.0, -0.35978301327699924]	1.0	2.0	1.0	-0.17989150663849962
8	[0.9388279914855957, 2.0293564796447754]	[2.0611720085144043, 0]	[-0.12608603165449495, 0.0]	1.0	2.0	1.0	-0.06304301582724747
9	[1.010573148727417, 1.780468463897705]	[1.989426851272583, 0]	[0.021034505980821905, 0.0]	1.0	2.0	1.0	0.010517252990410952
10	[1.994666337966919, 1.8957970142364502]	[0, 1.1042029857635498]	[0.0, 0.9891417377579614]	1.0	2.0	1.0	0.4945708688789807
11	[1.663877010345459, 0.8353689312934875]	[0, 2.1646310687065125]	[0.0, -0.3563655261964733]	1.0	2.0	1.0	-0.17818276309823666
12	[1.244239330291748, 1.6145727634429932]	[1.755760669708252, 0]	[0.4288258101221345, 0.0]	1.0	2.0	1.0	0.21441290506106725
13	[2.3453266620635986, 1.784722089767456]	[0, 1.215277910232544]	[0.0, 0.9536554213659088]	1.0	2.0	1.0	0.4768277106829544
14	[1.9790589809417725, 1.5975439548492432]	[0, 1.4024560451507568]	[0.0, 0.838029131721612]	1.0	2.0	1.0	0.419014565860806
15	[2.3716025352478027, 0.9859490394592285]	[0, 2.0140509605407715]	[0.0, -0.028299350573661286]	1.0	2.0	1.0	-0.014149675286830643
16	[1.8219729661941528, 1.828019618988037]	[1.1780270338058472, 0]	[0.9683063752342917, 0.0]	1.0	2.0	1.0	0.4841531876171459
17	[1.2490158081054688, 1.8040465116500854]	[1.7509841918945312, 0]	[0.43602274352451786, 0.0]	1.0	2.0	1.0	0.21801137176225893
18	[0.8188921213150024, 2.0204827785491943]	[2.1811078786849976, 0]	[-0.3950158210917749, 0.0]	1.0	2.0	1.0	-0.19750791054588746
