costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8978903293609619;1.0;2.0;0.0;0.3053753972053528;1.6107507944107056;0.0;0.0
1.0;0.0;1.0;0.9162937352533476;1.0;2.0;3.0;0.6908307671546936;2.381661534309387;0.0;0.0;0.6446601748466492;2.2893203496932983;0.7106796503067017;0.9162937352533476
1.0;0.0;1.0;0.1360895168696094;1.0;2.0;3.0;0.13066987693309784;1.2613397538661957;0.0;0.0;0.035266075283288956;1.070532150566578;1.929467849433422;0.1360895168696094
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.17049361765384674;1.3409872353076935;0.0;0.0;-0.41798877716064453;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.06621717661619186;1.1324343532323837;0.0;0.0;-0.16420978307724;1.0;2.0;0.0
1.0;0.0;1.0;0.6069577308058882;1.0;2.0;3.0;0.186534583568573;1.373069167137146;1.626930832862854;0.6069577308058882;0.7944543361663818;2.5889086723327637;0.0;0.0
1.0;0.0;1.0;0.5150264773414506;1.0;2.0;3.0;0.8729581832885742;2.7459163665771484;0.0;0.0;0.8482002019882202;2.6964004039764404;0.30359959602355957;0.5150264773414506
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.36457666754722595;1.0;2.0;0.0;0.3815905451774597;1.7631810903549194;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7907189726829529;1.0;2.0;0.0;-0.8581464290618896;1.0;2.0;0.0
1.0;0.0;1.0;0.9901919222227207;1.0;2.0;3.0;0.5495178699493408;2.0990357398986816;0.9009642601013184;0.9901919222227207;0.7338329553604126;2.467665910720825;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.79241943359375;1.0;2.0;0.0;0.7897031307220459;2.579406261444092;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9961279630661011;1.0;2.0;0.0;0.16615335643291473;1.3323067128658295;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9825785756111145;1.0;2.0;0.0;-0.5496335625648499;1.0;2.0;0.0
1.0;0.0;1.0;0.5368053194879252;1.0;2.0;3.0;0.8402920365333557;2.6805840730667114;0.3194159269332886;0.5368053194879252;0.8917449116706848;2.7834898233413696;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8771584033966064;1.0;2.0;0.0;-0.38655179738998413;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.05108523368835449;1.0;2.0;0.0;0.6695461273193359;2.339092254638672;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.61980140209198;2.23960280418396;0.0;0.0;-0.47950056195259094;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.17992229759693146;1.0;2.0;0.0;-0.6416616439819336;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7032690644264221;2.4065381288528442;0.0;0.0;-0.010714227333664894;1.0;2.0;0.0
1.0;0.0;1.0;0.6427284892345;1.0;2.0;3.0;0.8152110576629639;2.6304221153259277;0.0;0.0;0.7988609671592712;2.5977219343185425;0.4022780656814575;0.6427284892345
1.0;0.0;1.0;0.5303834857346379;1.0;2.0;3.0;0.1573571413755417;1.3147142827510834;1.6852857172489166;0.5303834857346379;0.22115305066108704;1.442306101322174;0.0;0.0
1.0;0.0;1.0;0.8520757460355526;1.0;2.0;3.0;0.6923046112060547;2.3846092224121094;0.6153907775878906;0.8520757460355526;0.7623439431190491;2.524687886238098;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6370659470558167;1.0;2.0;0.0;-0.23755507171154022;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.0009850799106061459;1.0;2.0;0.0;0.30281323194503784;1.6056264638900757;0.0;0.0
