costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1
1.0;0.0;1.0;0.9965916285460388;1.0;2.0;3.0;0.47080937027931213;1.9416187405586243;1.0583812594413757;0.9965916285460388;0.7059471011161804;2.411894202232361;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.24123412370681763;1.0;2.0;0.0;-0.6943475604057312;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.26678815484046936;1.5335763096809387;0.0;0.0;-0.6222767233848572;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8290761113166809;1.0;2.0;0.0;0.20656152069568634;1.4131230413913727;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9686741828918457;1.0;2.0;0.0;0.3874061405658722;1.7748122811317444;0.0;0.0
1.0;0.0;1.0;0.9381232738136163;1.0;2.0;3.0;0.3756248354911804;1.7512496709823608;1.2487503290176392;0.9381232738136163;0.43159589171409607;1.8631917834281921;0.0;0.0
1.0;0.0;1.0;0.3246397743736189;1.0;2.0;3.0;0.0890984833240509;1.1781969666481018;1.8218030333518982;0.3246397743736189;0.5197238326072693;2.0394476652145386;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5939169526100159;1.0;2.0;0.0;0.29437538981437683;1.5887507796287537;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6151992678642273;1.0;2.0;0.0;0.23775364458560944;1.4755072891712189;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.29784420132637024;1.0;2.0;0.0;-0.8421299457550049;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.08570976555347443;1.1714195311069489;0.0;0.0;-0.4591117799282074;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7816771864891052;1.0;2.0;0.0;0.2813611626625061;1.5627223253250122;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.18234266340732574;1.0;2.0;0.0;0.9834873676300049;2.9669747352600098;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6244184970855713;1.0;2.0;0.0;-0.8179997801780701;1.0;2.0;0.0
1.0;0.0;1.0;0.7822427199096715;1.0;2.0;3.0;0.2666776478290558;1.5333552956581116;1.4666447043418884;0.7822427199096715;0.9935241341590881;2.9870482683181763;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8975872993469238;1.0;2.0;0.0;-0.6955567598342896;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9742140769958496;1.0;2.0;0.0;-0.7464713454246521;1.0;2.0;0.0
1.0;0.0;1.0;0.7812825748951582;1.0;2.0;3.0;0.8273752331733704;2.6547504663467407;0.0;0.0;0.7338361740112305;2.467672348022461;0.5323276519775391;0.7812825748951582
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.590747058391571;2.181494116783142;0.0;0.0;-0.41907045245170593;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5125944018363953;1.0;2.0;0.0;0.8026739954948425;2.605347990989685;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.49262145161628723;1.9852429032325745;0.0;0.0;-0.9932030439376831;1.0;2.0;0.0
1.0;0.0;1.0;0.9890098407189356;1.0;2.0;3.0;0.7546708583831787;2.5093417167663574;0.0;0.0;0.44758301973342896;1.895166039466858;1.104833960533142;0.9890098407189356
