	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
18	[0.9253299832344055, 1.152400255203247]	[2.0746700167655945, 0]	[-0.15491564493496313, 0.0]	1	2.0	1	-0.07745782246748156
19	[2.2879836559295654, 1.7671597003936768]	[0, 1.2328402996063232]	[0.0, 0.9457853948792376]	1	2.0	1	0.4728926974396188
20	[1.7624927759170532, 1.680870771408081]	[0, 1.319129228591919]	[0.0, 0.8981565354583267]	1	2.0	1	0.44907826772916337
21	[0.9861236810684204, 1.6158645153045654]	[2.0138763189315796, 0]	[-0.027945190090250094, 0.0]	1	2.0	1	-0.013972595045125047
22	[1.0717904567718506, 1.5043509006500244]	[1.9282095432281494, 0]	[0.13842704386019022, 0.0]	1	2.0	1	0.06921352193009511
23	[0.9606999754905701, 1.2269556522369385]	[2.03930002450943, 0]	[-0.08014454094530166, 0.0]	1	2.0	1	-0.04007227047265083
24	[1.5023059844970703, 1.6582019329071045]	[1.4976940155029297, 0]	[0.7523006669325696, 0.0]	1	2.0	1	0.3761503334662848
25	[1.6925691366195679, 1.4129265546798706]	[0, 1.5870734453201294]	[0.0, 0.655344769799953]	1	2.0	1	0.3276723848999765
26	[1.9265503883361816, 1.062964916229248]	[0, 1.937035083770752]	[0.0, 0.12196525178273987]	1	2.0	1	0.060982625891369935
27	[1.0596342086791992, 1.7557952404022217]	[1.9403657913208008, 0]	[0.11571217851360416, 0.0]	1	2.0	1	0.05785608925680208
28	[1.2958025932312012, 1.5281040668487549]	[1.7041974067687988, 0]	[0.5041060123000989, 0.0]	1	2.0	1	0.25205300615004944
29	[1.1651917695999146, 1.7239322662353516]	[1.8348082304000854, 0]	[0.30309521845627785, 0.0]	1	2.0	1	0.15154760922813892
30	[1.5902084112167358, 1.9893651008605957]	[1.4097915887832642, 0]	[0.8320708537624881, 0.0]	1	2.0	1	0.41603542688124406
31	[2.1945858001708984, 1.7852041721343994]	[0, 1.2147958278656006]	[0.0, 0.9538627523315313]	1	2.0	1	0.47693137616576564
32	[1.6326143741607666, 1.8065152168273926]	[1.3673856258392334, 0]	[0.8650278019267148, 0.0]	1	2.0	1	0.4325139009633574
33	[1.6083595752716064, 1.2898977994918823]	[0, 1.7101022005081177]	[0.0, 0.49575486483352904]	1	2.0	1	0.24787743241676452
34	[2.3656065464019775, 1.7700473070144653]	[0, 1.2299526929855347]	[0.0, 0.9471217589887004]	1	2.0	1	0.4735608794943502
35	[1.7814005613327026, 0.9179810881614685]	[0, 2.0820189118385315]	[0.0, -0.1707649255762398]	1	2.0	1	-0.0853824627881199
36	[1.7968469858169556, 2.365070104598999]	[1.2031530141830444, 0]	[0.9587288528283437, 0.0]	1	2.0	1	0.4793644264141719
37	[1.952800989151001, 1.2476837635040283]	[0, 1.7523162364959717]	[0.0, 0.4340202803045372]	1	2.0	1	0.2170101401522686
38	[1.716505527496338, 1.9577751159667969]	[1.283494472503662, 0]	[0.9196308840598704, 0.0]	1	2.0	1	0.4598154420299352
39	[2.3716588020324707, 0.8648420572280884]	[0, 2.1351579427719116]	[0.0, -0.2885835550381586]	1	2.0	1	-0.1442917775190793
40	[2.3961830139160156, 1.6761837005615234]	[0, 1.3238162994384766]	[0.0, 0.8951430042179709]	1	2.0	1	0.44757150210898544
41	[1.7118031978607178, 0.9962396621704102]	[0, 2.00376033782959]	[0.0, -0.007534815799772332]	1	2.0	1	-0.003767407899886166
42	[1.5465668439865112, 1.7271454334259033]	[1.4534331560134888, 0]	[0.7943983730276472, 0.0]	1	2.0	1	0.3971991865138236
43	[2.307039737701416, 1.7688934803009033]	[0, 1.2311065196990967]	[0.0, 0.946589776552571]	1	2.0	1	0.4732948882762855
44	[1.7012262344360352, 1.6659044027328491]	[0, 1.3340955972671509]	[0.0, 0.8883801318867057]	1	2.0	1	0.44419006594335286
45	[2.1731202602386475, 1.7000700235366821]	[0, 1.2999299764633179]	[0.0, 0.9100420092187136]	1	2.0	1	0.4550210046093568
46	[1.6794209480285645, 1.5615763664245605]	[0, 1.4384236335754395]	[0.0, 0.8077847175225088]	1	2.0	1	0.4038923587612544
47	[1.1298339366912842, 2.262500524520874]	[1.8701660633087158, 0]	[0.24281102226581197, 0.0]	1	2.0	1	0.12140551113290599
48	[1.7214560508728027, 1.1672109365463257]	[0, 1.8327890634536743]	[0.0, 0.306462375791952]	1	2.0	1	0.153231187895976
49	[1.6652220487594604, 2.0851657390594482]	[1.3347779512405396, 0]	[0.8879237233631869, 0.0]	1	2.0	1	0.44396186168159346
50	[1.044977068901062, 1.1755112409591675]	[1.955022931098938, 0]	[0.08793120107519314, 0.0]	1	2.0	1	0.04396560053759657
51	[0.9618650674819946, 1.6352475881576538]	[2.0381349325180054, 0]	[-0.07772413811416357, 0.0]	1	2.0	1	-0.03886206905708178
52	[1.4388068914413452, 1.7450408935546875]	[1.5611931085586548, 0]	[0.6850622949062739, 0.0]	1	2.0	1	0.34253114745313695
53	[1.7161190509796143, 1.8862850666046143]	[1.2838809490203857, 0]	[0.9194116067832852, 0.0]	1	2.0	1	0.4597058033916426
54	[0.9713019728660583, 1.6469004154205322]	[2.0286980271339417, 0]	[-0.05821963102926375, 0.0]	1	2.0	1	-0.029109815514631876
55	[1.2516558170318604, 1.8028075695037842]	[1.7483441829681396, 0]	[0.43998098381774753, 0.0]	1	2.0	1	0.21999049190887376
56	[1.9043338298797607, 1.0366859436035156]	[0, 1.9633140563964844]	[0.0, 0.07202602874895092]	1	2.0	1	0.03601301437447546
57	[1.2195348739624023, 1.8697187900543213]	[1.7804651260375977, 0]	[0.3908741870391168, 0.0]	1	2.0	1	0.1954370935195584
58	[1.6654388904571533, 2.3461689949035645]	[1.3345611095428467, 0]	[0.8880688639814593, 0.0]	1	2.0	1	0.44403443199072967
59	[1.6459839344024658, 2.2830584049224854]	[1.3540160655975342, 0]	[0.8746726252988424, 0.0]	1	2.0	1	0.4373363126494212
60	[1.654638409614563, 1.5772888660430908]	[0, 1.4227111339569092]	[0.0, 0.821315297228864]	1	2.0	1	0.410657648614432
61	[1.6531139612197876, 0.8401153683662415]	[0, 2.1598846316337585]	[0.0, -0.34533235870017975]	1	2.0	1	-0.17266617935008988
62	[1.6581149101257324, 0.8048123717308044]	[0, 2.1951876282691956]	[0.0, -0.4284734667677448]	1	2.0	1	-0.2142367333838724
63	[1.7119626998901367, 1.7706773281097412]	[1.2880373001098633, 0]	[0.9170345137454206, 0.0]	1	2.0	1	0.4585172568727103
64	[1.3301026821136475, 1.256430983543396]	[0, 1.743569016456604]	[0.0, 0.44710511776575856]	1	2.0	1	0.22355255888287928
65	[1.6407127380371094, 1.7080439329147339]	[1.3592872619628906, 0]	[0.8709126633912092, 0.0]	1	2.0	1	0.4354563316956046
66	[1.7143597602844238, 1.743099331855774]	[1.2856402397155762, 0]	[0.9184096534552282, 0.0]	1	2.0	1	0.4592048267276141
67	[1.855395793914795, 2.1909937858581543]	[1.144604206085205, 0]	[0.9790896235824675, 0.0]	1	2.0	1	0.48954481179123377
68	[1.7248748540878296, 1.7777090072631836]	[1.2751251459121704, 0]	[0.9243061540868069, 0.0]	1	2.0	1	0.46215307704340347
69	[2.1094908714294434, 1.7528963088989258]	[0, 1.2471036911010742]	[0.0, 0.9389397658442249]	1	2.0	1	0.46946988292211245
70	[1.724881887435913, 1.7912546396255493]	[1.275118112564087, 0]	[0.9243100241391744, 0.0]	1	2.0	1	0.4621550120695872
71	[0.9964581727981567, 1.6977452039718628]	[2.0035418272018433, 0]	[-0.00709619894361424, 0.0]	1	2.0	1	-0.00354809947180712
72	[1.9045443534851074, 1.7593445777893066]	[0, 1.2406554222106934]	[0.0, 0.9420849677605929]	1	2.0	1	0.47104248388029646
73	[1.7739553451538086, 1.8082174062728882]	[1.2260446548461914, 0]	[0.9489038140154662, 0.0]	1	2.0	1	0.4744519070077331
74	[2.3468520641326904, 1.03256356716156]	[0, 1.96743643283844]	[0.0, 0.06406674841683468]	1	2.0	1	0.03203337420841734
75	[2.2148935794830322, 1.87129545211792]	[0, 1.12870454788208]	[0.0, 0.9834351393544694]	1	2.0	1	0.4917175696772347
76	[1.97233247756958, 1.663316249847412]	[0, 1.336683750152588]	[0.0, 0.8866440523831898]	1	2.0	1	0.4433220261915949
77	[1.5479357242584229, 1.9257056713104248]	[1.4520642757415771, 0]	[0.7956378905982433, 0.0]	1	2.0	1	0.39781894529912165
78	[1.6738300323486328, 1.769586443901062]	[1.3261699676513672, 0]	[0.8936131522023061, 0.0]	1	2.0	1	0.44680657610115304
79	[1.6324735879898071, 0.9218122959136963]	[0, 2.0781877040863037]	[0.0, -0.16248872524289482]	1	2.0	1	-0.08124436262144741
80	[2.2536890506744385, 1.9365899562835693]	[0, 1.0634100437164307]	[0.0, 0.9959791663558804]	1	2.0	1	0.4979895831779402
81	[2.294685125350952, 1.7473814487457275]	[0, 1.2526185512542725]	[0.0, 0.9361838675621925]	1	2.0	1	0.46809193378109626
82	[2.2039456367492676, 1.7535638809204102]	[0, 1.2464361190795898]	[0.0, 0.9392692392129902]	1	2.0	1	0.4696346196064951
83	[1.6781777143478394, 2.061236619949341]	[1.3218222856521606, 0]	[0.8964304164576191, 0.0]	1	2.0	1	0.44821520822880956
