costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8267059922218323;3.480117976665497;0.0;0.0;-0.2546199560165405;0.23614013195037842;2.7638598680496216;-2.1112016341160285
1.0;0.0;1.0;0.9742744202683644;1.0;2.0;3.0;0.27986934781074524;1.8396080434322357;1.1603919565677643;0.9742744202683644;0.3809480369091034;2.14284411072731;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.981997013092041;-1.945991039276123;4.945991039276123;-14.570845282047458;-0.5037342309951782;-0.5112026929855347;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.41005465388298035;-0.23016396164894104;3.230163961648941;-3.9736312958376994;0.4560368061065674;2.368110418319702;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5864306092262268;-0.7592918276786804;3.7592918276786804;-6.613691390294353;0.5020731687545776;2.506219506263733;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5072115063667297;-0.5216345191001892;0.0;0.0;-0.5090736746788025;-0.5272210240364075;3.5272210240364075;-5.386846104331628
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.639742910861969;-0.919228732585907;3.919228732585907;-7.521896393155121;-0.5417479276657104;-0.6252437829971313;0.0;0.0
1.0;0.0;1.0;0.5997683597180661;1.0;2.0;3.0;0.5442128777503967;2.63263863325119;0.3673613667488098;0.5997683597180661;0.9791971445083618;3.9375914335250854;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.5602046847343445;2.6806140542030334;0.0;0.0;-0.7978302240371704;-1.3934906721115112;4.393490672111511;-10.515778941707836
1.0;0.0;1.0;0.6878445579720243;1.0;2.0;3.0;0.5195695757865906;2.5587087273597717;0.44129127264022827;0.6878445579720243;0.8296234607696533;3.48887038230896;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.41966357827186584;-0.25899073481559753;0.0;0.0;-0.5147916674613953;-0.5443750023841858;3.544375002384186;-5.4738441527575254
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.25849539041519165;0.22451382875442505;2.775486171245575;-2.152351144284271;0.027871515601873398;1.0836145468056202;0.0;0.0
1.0;0.0;1.0;0.9997200000392459;1.0;2.0;3.0;0.5542263388633728;2.6626790165901184;0.0;0.0;0.3277556002140045;1.9832668006420135;1.0167331993579865;0.9997200000392459
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.5986289381980896;2.795886814594269;0.0;0.0;-0.7867304682731628;-1.3601914048194885;4.3601914048194885;-10.290886277022768
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.5372289419174194;2.6116868257522583;0.0;0.0;-0.12192440778017044;0.6342267766594887;2.3657732233405113;-0.8653364975939302
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.959966778755188;3.879900336265564;0.0;0.0;-0.14771321415901184;0.5568603575229645;2.4431396424770355;-1.082652027688746
1.0;0.0;1.0;0.8890349252340535;1.0;2.0;3.0;0.44437140226364136;2.333114206790924;0.6668857932090759;0.8890349252340535;0.748863935470581;3.246591806411743;0.0;0.0
1.0;0.0;1.0;0.7342929853623303;1.0;2.0;3.0;0.5051559209823608;2.5154677629470825;0.4845322370529175;0.7342929853623303;0.7986204028129578;3.3958612084388733;0.0;0.0
1.0;0.0;1.0;0.9501412847130402;1.0;2.0;3.0;0.6096723079681396;2.829016923904419;0.0;0.0;0.2589031159877777;1.7767093479633331;1.2232906520366669;0.9501412847130402
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8020369410514832;-1.4061108231544495;4.4061108231544495;-10.601590939609881;0.7088747620582581;3.126624286174774;0.0;0.0
1.0;0.0;1.0;0.6857354281449461;1.0;2.0;3.0;0.36275750398635864;2.088272511959076;0.0;0.0;0.14646898210048676;1.4394069463014603;1.5605930536985397;0.6857354281449461
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9138873219490051;-1.7416619658470154;4.741661965847015;-13.000034266666152;0.6291859149932861;2.8875577449798584;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.06188613548874855;1.1856584064662457;0.0;0.0;-0.19534721970558167;0.413958340883255;2.586041659116745;-1.5155281444537971
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.0473480150103569;0.8579559549689293;2.1420440450310707;-0.30426460079093026;0.9210254549980164;3.763076364994049;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.4841979444026947;-0.4525938332080841;3.452593833208084;-5.0152165106903235;0.8529569506645203;3.558870851993561;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.13543210923671722;0.5937036722898483;0.0;0.0;-0.8245590329170227;-1.4736770987510681;4.473677098751068;-11.066432586387638
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9713583588600159;3.9140750765800476;0.0;0.0;0.6976921558380127;3.093076467514038;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.5154404640197754;2.546321392059326;0.0;0.0;-0.6648588180541992;-0.9945764541625977;3.9945764541625977;-7.967488139825036
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.3121766746044159;0.06346997618675232;2.9365300238132477;-2.7501485331301376;0.9664083123207092;3.8992249369621277;0.0;0.0
