costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9196910858154297;3.759073257446289;0.0;0.0;0.9429017901420593;3.828705370426178;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8735120892524719;3.6205362677574158;0.0;0.0;-0.4335222840309143;-0.3005668520927429;3.300566852092743;-4.2926078409479125
1.0;0.0;1.0;0.9986907042707429;1.0;2.0;3.0;0.34539473056793213;2.0361841917037964;0.9638158082962036;0.9986907042707429;0.4950045049190521;2.4850135147571564;0.0;0.0
1.0;0.0;1.0;0.99767279831104;1.0;2.0;3.0;0.3494136929512024;2.048241078853607;0.9517589211463928;0.99767279831104;0.8578624725341797;3.573587417602539;0.0;0.0
1.0;0.0;1.0;0.9786438032759719;1.0;2.0;3.0;0.3820458650588989;2.1461375951766968;0.8538624048233032;0.9786438032759719;0.6204833388328552;2.8614500164985657;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6248401403427124;2.874520421028137;0.0;0.0;-0.45603930950164795;-0.36811792850494385;3.368117928504944;-4.607982523306546
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.025335920974612236;1.0760077629238367;0.0;0.0;-0.7136300206184387;-1.1408900618553162;4.140890061855316;-8.865190380661492
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6660864949226379;2.998259484767914;0.0;0.0;-0.05748441070318222;0.8275467678904533;2.1724532321095467;-0.3746465814841225
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6145600080490112;-0.8436800241470337;3.8436800241470337;-7.086516079732874;0.29680028557777405;1.8904008567333221;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.12510010600090027;0.6246996819972992;0.0;0.0;-0.5819264054298401;-0.7457792162895203;3.7457792162895203;-6.539303504607492
1.0;0.0;1.0;0.4732726524634087;1.0;2.0;3.0;0.09141338616609573;1.2742401584982872;1.7257598415017128;0.4732726524634087;0.12209071964025497;1.366272158920765;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.03564399108290672;1.1069319732487202;0.0;0.0;-0.22264111042022705;0.33207666873931885;2.667923331260681;-1.781968238963728
