	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
0	[6.414351463317871, 10.95977783203125, 9.799652099609375]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
1	[8.717926979064941, 9.62663745880127, 5.299604892730713]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
2	[7.446146488189697, 2.2952845096588135, 10.787531852722168]	[0, 0.7047154903411865, 0]	[0.0, 0.9128070583555541, 0.0]	1	2.0	1	0.30426901945185136
3	[8.533937454223633, 2.833392381668091, 8.51391315460205]	[0, 0.16660761833190918, 0]	[0.0, 0.30545713817758724, 0.0]	1	2.0	1	0.10181904605919574
4	[3.268707513809204, 7.436642169952393, 4.432070255279541]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
5	[5.253753185272217, 4.328441143035889, 2.882582187652588]	[0, 0, 0.11741781234741211]	[0.0, 0.0, 0.22104868203837214]	1	2.0	1	0.07368289401279071
6	[9.927858352661133, 2.357501745223999, 3.2922310829162598]	[0, 0.642498254776001, 0]	[0.0, 0.8721925021617949, 0.0]	1	2.0	1	0.29073083405393163
7	[3.7505555152893066, 3.4629719257354736, 2.605050802230835]	[0, 0, 0.39494919776916504]	[0.0, 0.0, 0.633913526719823]	1	2.0	1	0.21130450890660768
8	[7.183492183685303, 5.655930042266846, 9.501014709472656]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
9	[3.8356475830078125, 10.398590087890625, 6.277105331420898]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
10	[3.477358341217041, 10.87239933013916, 2.616868495941162]	[0, 0, 0.3831315040588379]	[0.0, 0.0, 0.6194732587152885]	1	2.0	1	0.2064910862384295
11	[2.270496129989624, 2.771249532699585, 3.9759135246276855]	[0.729503870010376, 0, 0]	[0.9268318436606364, 0.0, 0.0]	1	2.0	1	0.3089439478868788
12	[9.048584938049316, 6.240654945373535, 3.9504876136779785]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
13	[4.380276679992676, 10.710464477539062, 4.631319522857666]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
14	[10.725812911987305, 2.819516181945801, 5.046412467956543]	[0, 0.18048381805419922, 0]	[0.0, 0.32839322752897715, 0.0]	1	2.0	1	0.10946440917632572
15	[2.746995449066162, 7.2257914543151855, 2.6494204998016357]	[0, 0, 0.35057950019836426]	[0.0, 0.0, 0.5782530144373936]	1	2.0	1	0.19275100481246454
16	[7.624962329864502, 7.888187885284424, 5.282782554626465]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
17	[5.176400661468506, 5.082908630371094, 3.491995096206665]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
18	[4.238847255706787, 5.696683406829834, 3.4448089599609375]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
19	[10.13845157623291, 10.636509895324707, 9.113890647888184]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
20	[6.917576789855957, 4.349599361419678, 4.42473840713501]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
21	[5.031239032745361, 7.047693252563477, 4.229033946990967]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
22	[8.951098442077637, 4.864963054656982, 8.034424781799316]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
23	[8.73453140258789, 4.237103462219238, 8.062582015991211]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
24	[5.231586933135986, 4.621696949005127, 6.812613010406494]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
25	[6.793079376220703, 3.8679237365722656, 9.694511413574219]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
26	[3.1952874660491943, 6.690020561218262, 6.34364128112793]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
27	[4.416628360748291, 10.26515007019043, 2.662071704864502]	[0, 0, 0.33792829513549805]	[0.0, 0.0, 0.5616610576178118]	1	2.0	1	0.1872203525392706
28	[7.930862903594971, 4.739228248596191, 9.673665046691895]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
29	[2.71560001373291, 5.696441650390625, 2.520829916000366]	[0, 0, 0.4791700839996338]	[0.0, 0.0, 0.7287361985990515]	1	2.0	1	0.24291206619968383
30	[7.062040328979492, 2.792189121246338, 4.046888828277588]	[0, 0.2078108787536621, 0]	[0.0, 0.37243639617895496, 0.0]	1	2.0	1	0.12414546539298499
31	[9.21138858795166, 3.6298584938049316, 6.824646949768066]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
32	[6.974876403808594, 4.645512104034424, 10.217270851135254]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
33	[9.506549835205078, 2.5643796920776367, 2.2842559814453125]	[0, 0, 0.7157440185546875]	[0.0, 0.0, 0.9191985370125622]	1	2.0	1	0.3063995123375207
34	[5.555499076843262, 9.746500968933105, 8.011615753173828]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
35	[6.819350719451904, 4.127101898193359, 5.509858131408691]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
36	[4.358503818511963, 10.323615074157715, 2.3074100017547607]	[0, 0, 0.6925899982452393]	[0.0, 0.0, 0.905499090821138]	1	2.0	1	0.30183303027371267
37	[10.199955940246582, 2.357130765914917, 2.5304746627807617]	[0, 0.642869234085083, 0]	[0.0, 0.8724576160370248, 0.0]	1	2.0	1	0.2908192053456749
38	[8.94295883178711, 2.7839126586914062, 5.8056769371032715]	[0, 0.21608734130859375, 0]	[0.0, 0.3854809435433708, 0.0]	1	2.0	1	0.12849364784779027
39	[3.695730209350586, 5.857356071472168, 3.855415105819702]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
40	[3.4694807529449463, 2.352271556854248, 4.853147029876709]	[0, 0.647728443145752, 0]	[0.0, 0.8759047502314843, 0.0]	1	2.0	1	0.29196825007716143
41	[6.90001106262207, 2.3596408367156982, 3.8911080360412598]	[0, 0.6403591632843018, 0]	[0.0, 0.8706584685664325, 0.0]	1	2.0	1	0.29021948952214416
42	[2.4328694343566895, 2.320366859436035, 2.4690165519714355]	[0, 0.6796331405639648, 0]	[0.0, 0.8973650753750917, 0.0]	1	2.0	1	0.29912169179169723
43	[8.364202499389648, 7.814294338226318, 2.2605764865875244]	[0, 0, 0.7394235134124756]	[0.0, 0.0, 0.9320998946377017]	1	2.0	1	0.3106999648792339
44	[6.647014617919922, 6.448875904083252, 7.2816314697265625]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
45	[2.889352560043335, 8.25275707244873, 10.350483894348145]	[0.11064743995666504, 0, 0]	[0.20905202394436628, 0.0, 0.0]	1	2.0	1	0.06968400798145542
46	[7.039259433746338, 6.015425205230713, 2.521531343460083]	[0, 0, 0.478468656539917]	[0.0, 0.0, 0.7280050577887209]	1	2.0	1	0.2426683525962403
47	[2.360084295272827, 2.579749584197998, 3.819730043411255]	[0.6399157047271729, 0, 0]	[0.8703393002978714, 0.0, 0.0]	1	2.0	1	0.2901131000992905
48	[9.066292762756348, 3.934739589691162, 2.925234794616699]	[0, 0, 0.07476520538330078]	[0.0, 0.0, 0.14394057483059441]	1	2.0	1	0.04798019161019814
49	[2.2827892303466797, 5.810199737548828, 2.2638237476348877]	[0, 0, 0.7361762523651123]	[0.0, 0.0, 0.9303970301838831]	1	2.0	1	0.3101323433946277
50	[4.782770156860352, 10.520476341247559, 3.9047253131866455]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
51	[6.945641040802002, 8.85853099822998, 2.996731758117676]	[0, 0, 0.0032682418823242188]	[0.0, 0.0, 0.006525802359647059]	1	2.0	1	0.0021752674532156866
52	[10.529984474182129, 10.341085433959961, 2.7855300903320312]	[0, 0, 0.21446990966796875]	[0.0, 0.0, 0.3829424771829508]	1	2.0	1	0.12764749239431694
53	[4.32821798324585, 8.138336181640625, 3.1037676334381104]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
54	[4.150570392608643, 6.189908027648926, 5.609009742736816]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
55	[8.461573600769043, 3.1034722328186035, 4.41664981842041]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
56	[10.533638000488281, 2.6747803688049316, 8.983501434326172]	[0, 0.32521963119506836, 0]	[0.0, 0.5446714538754804, 0.0]	1	2.0	1	0.1815571512918268
57	[5.961827754974365, 5.7800092697143555, 4.908166408538818]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
58	[3.3714029788970947, 7.203757286071777, 6.977301597595215]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
59	[5.682572841644287, 9.486141204833984, 3.3078362941741943]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
60	[8.923574447631836, 2.2672252655029297, 2.543785333633423]	[0, 0.7327747344970703, 0]	[0.0, 0.9285906574768887, 0.0]	1	2.0	1	0.3095302191589629
61	[3.7501559257507324, 4.155924320220947, 6.431131362915039]	[0, 0, 0]	[0.0, 0.0, 0.0]	1	2.0	1	0.0
62	[3.123979330062866, 2.316506862640381, 7.950672626495361]	[0, 0.6834931373596191, 0]	[0.0, 0.8998234059015431, 0.0]	1	2.0	1	0.29994113530051436
