	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
11	[1.2351069450378418, 1.3146233558654785]	[0.5635508439685281, 0.41001424990876006]	[0.13249471729893808, 0.12900005925896105]	1	1.9249809167141596	1.4729266600306228	-0.8046108122414963
12	[2.1060149669647217, 1.2276878356933594]	[0.02771060376012775, 0.9299433518023262]	[0.030648342502330186, 0.21173678908929994]	1	1.9249809167141596	1.4729266600306228	-0.8880125720176969
13	[2.297318458557129, 1.2447314262390137]	[0.013953873670988281, 0.9402119057445605]	[0.018102617881747423, 0.2300994006597674]	1	1.9249809167141596	1.4729266600306228	-0.8626254646749947
14	[1.456365704536438, 1.512890338897705]	[0.5232040345275397, 0.4173282047259648]	[0.2387723778334675, 0.21404360435347095]	1	1.9249809167141596	1.4729266600306228	0.030387706052880513
15	[1.2671838998794556, 1.9438573122024536]	[0.8927880072730012, 0.059599996153392176]	[0.23853858154880822, 0.05625389217661731]	1	1.9249809167141596	1.4729266600306228	-0.6592869956468588
16	[1.2028225660324097, 1.4038887023925781]	[0.671753232222684, 0.3005537220953827]	[0.13624671429996996, 0.12139025281636366]	1	1.9249809167141596	1.4729266600306228	-0.8214477601217804
17	[1.6669507026672363, 1.3300045728683472]	[0.19558809084317802, 0.7527968393093591]	[0.13044761462120083, 0.24842639941292685]	1	1.9249809167141596	1.4729266600306228	-0.2923231698501284
18	[1.3677603006362915, 1.2159417867660522]	[0.3430339537781234, 0.6296118310829347]	[0.1261542699698984, 0.1359595037730948]	1	1.9249809167141596	1.4729266600306228	-0.8019092730645788
19	[1.3725807666778564, 2.1101796627044678]	[0.8821348692646926, 0.04615241888918825]	[0.32866648590390984, 0.05123747683539432]	1	1.9249809167141596	1.4729266600306228	-0.2878280819171731
20	[2.239982843399048, 2.0371522903442383]	[0.17057861972526756, 0.383952372681878]	[0.2115145619100222, 0.3982170827101143]	1	1.9249809167141596	1.4729266600306228	0.7152273462700219
21	[1.5773570537567139, 1.8022724390029907]	[0.6284875801607798, 0.2556104806496233]	[0.36286173760431434, 0.20506924374550003]	1	1.9249809167141596	1.4729266600306228	0.5327933511481376
22	[1.1999924182891846, 2.2354605197906494]	[0.9463835547054306, 0.015040935687068413]	[0.18926953573465385, 0.01858248222208327]	1	1.9249809167141596	1.4729266600306228	-1.038728216017644
23	[1.2541640996932983, 1.8410147428512573]	[0.8724172745078189, 0.08341809586539187]	[0.22173715113216091, 0.07015584844337407]	1	1.9249809167141596	1.4729266600306228	-0.6719414037718302
24	[1.5893092155456543, 1.6117432117462158]	[0.4744694405588942, 0.43374691884789884]	[0.2796092138161474, 0.2653417332210389]	1	1.9249809167141596	1.4729266600306228	0.432499740001847
25	[1.4537503719329834, 1.3808934688568115]	[0.4080275916582271, 0.5460783212855894]	[0.18514267147384003, 0.20799766606197256]	1	1.9249809167141596	1.4729266600306228	-0.23005950730290145
26	[1.1928797960281372, 1.1842318773269653]	[0.4819707827523152, 0.49893467248707035]	[0.09296242626878819, 0.09191967137580757]	1	1.9249809167141596	1.4729266600306228	-1.1389776858185323
27	[2.2714157104492188, 1.6158056259155273]	[0.056399395675622924, 0.7765793150006316]	[0.07170707772182872, 0.4782219111470154]	1	1.9249809167141596	1.4729266600306228	0.45422580815919095
28	[1.97061288356781, 1.9829334020614624]	[0.3519874971553781, 0.3350613272698837]	[0.34164359959379786, 0.32934297031261583]	1	1.9249809167141596	1.4729266600306228	0.982567141062277
29	[1.9075536727905273, 2.0727007389068604]	[0.45301549360842513, 0.23400396570208978]	[0.4111358750553399, 0.2510162269157673]	1	1.9249809167141596	1.4729266600306228	0.9440101624375278
30	[1.241316795349121, 1.9028804302215576]	[0.8936519826071382, 0.06337451941542933]	[0.2156532326001431, 0.057219613354887296]	1	1.9249809167141596	1.4729266600306228	-0.7549525892733822
31	[2.1036648750305176, 2.287755012512207]	[0.33414545192539896, 0.16000672299351565]	[0.36878459844126127, 0.20604945957055198]	1	1.9249809167141596	1.4729266600306228	0.5629210035716631
32	[1.7448381185531616, 2.155801773071289]	[0.6436682773433229, 0.12437844306505196]	[0.4794286686687552, 0.14375682502643342]	1	1.9249809167141596	1.4729266600306228	0.7739450613611898
33	[2.2547295093536377, 1.403867244720459]	[0.029552729218516798, 0.8885804216552958]	[0.037080681432410494, 0.358868526606468]	1	1.9249809167141596	1.4729266600306228	-0.21780052795751492
34	[1.9150891304016113, 1.3640755414962769]	[0.09281860142507847, 0.8410923146935806]	[0.08493729326316882, 0.30622113992042227]	1	1.9249809167141596	1.4729266600306228	-0.2387092917952427
35	[1.2076804637908936, 1.665696144104004]	[0.8318658182586929, 0.13316759269660763]	[0.1727622789477565, 0.08864915297774421]	1	1.9249809167141596	1.4729266600306228	-0.8049745599208591
36	[1.80071222782135, 1.493408441543579]	[0.2053743886223818, 0.7020816758198853]	[0.16444578425127507, 0.34641302550259395]	1	1.9249809167141596	1.4729266600306228	0.28370868454376025
37	[1.9254575967788696, 2.2333171367645264]	[0.4916304916332719, 0.14349342869962975]	[0.454983173290142, 0.17697290462835208]	1	1.9249809167141596	1.4729266600306228	0.8122232271659559
38	[2.0377726554870605, 1.5976052284240723]	[0.12532218153321056, 0.7289153314780981]	[0.13005593312115138, 0.43560361316977714]	1	1.9249809167141596	1.4729266600306228	0.5228799445169404
39	[1.6552245616912842, 2.2870333194732666]	[0.7509287783853461, 0.059983875259814315]	[0.4920269796789099, 0.07720124609050917]	1	1.9249809167141596	1.4729266600306228	0.5384550192558323
40	[2.302515983581543, 1.6302614212036133]	[0.052435857281216226, 0.771710057329923]	[0.06829854222158477, 0.4863790774898792]	1	1.9249809167141596	1.4729266600306228	0.4749506394944204
41	[1.889829158782959, 1.7474514245986938]	[0.29316925074282807, 0.5181480574262333]	[0.26087054776952107, 0.38729050367628387]	1	1.9249809167141596	1.4729266600306228	0.8829478958706902
42	[1.6017796993255615, 1.7719955444335938]	[0.5849599710175761, 0.29609490823121215]	[0.35201703547644614, 0.2285839498839696]	1	1.9249809167141596	1.4729266600306228	0.5880900682101703
43	[2.207313060760498, 1.2955400943756104]	[0.02400698490698529, 0.9209784995796078]	[0.028983946427683493, 0.2721860726836653]	1	1.9249809167141596	1.4729266600306228	-0.6314529616196722
44	[2.2985150814056396, 2.1316757202148438]	[0.16001190698948822, 0.31187600093528833]	[0.20777787443032694, 0.3529424979761677]	1	1.9249809167141596	1.4729266600306228	0.5013235108663122
45	[2.182800054550171, 2.1294054985046387]	[0.23171357071493237, 0.2868846515808071]	[0.2740708240816369, 0.324009102931951]	1	1.9249809167141596	1.4729266600306228	0.6643748184226026
46	[1.1929585933685303, 1.4291726350784302]	[0.7001008663460861, 0.2721540462809111]	[0.1350904783862302, 0.11680106918963566]	1	1.9249809167141596	1.4729266600306228	-0.8465229565042036
47	[1.8878991603851318, 1.280861258506775]	[0.07706206827297114, 0.8737224708229009]	[0.06842334571711278, 0.24539479274096887]	1	1.9249809167141596	1.4729266600306228	-0.5762517575554982
