costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1;actions_2;prices_2;quantities_2;rewards_2;actions_3;prices_3;quantities_3;rewards_3;actions_4;prices_4;quantities_4;rewards_4
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.010984379798173904;1.0219687595963478;0.0;0.0;0.8037022948265076;2.607404589653015;0.0;0.0;-0.7653636336326599;1.0;2.0;0.0;0.7537464499473572;2.5074928998947144;0.0;0.0;0.39307624101638794;1.7861524820327759;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.13891202211380005;1.0;2.0;0.0;-0.32188668847084045;1.0;2.0;0.0;-0.019041752442717552;1.0;2.0;0.0;-0.5903594493865967;1.0;2.0;0.0;-0.8463650345802307;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9435092806816101;1.0;2.0;0.0;-0.8407530784606934;1.0;2.0;0.0;0.783104658126831;2.566209316253662;0.0;0.0;0.10490386933088303;1.209807738661766;0.0;0.0;-0.054052211344242096;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7286378145217896;2.457275629043579;0.0;0.0;0.1997988075017929;1.3995976150035858;0.0;0.0;0.7744557857513428;2.5489115715026855;0.0;0.0;-0.9580154418945312;1.0;2.0;0.0;-0.07274212688207626;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.18969283998012543;1.0;2.0;0.0;-0.8802474737167358;1.0;2.0;0.0;-0.27380403876304626;1.0;2.0;0.0;-0.11273494362831116;1.0;2.0;0.0;0.5778142809867859;2.1556285619735718;0.0;0.0
1.0;0.0;1.0;0.6185414969005443;1.0;2.0;3.0;0.32894399762153625;1.6578879952430725;0.0;0.0;0.6167447566986084;2.233489513397217;0.0;0.0;0.9332221150398254;2.866444230079651;0.0;0.0;0.19118836522102356;1.3823767304420471;1.6176232695579529;0.6185414969005443;0.47101718187332153;1.942034363746643;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6955229043960571;2.3910458087921143;0.0;0.0;-0.694195032119751;1.0;2.0;0.0;0.01717814803123474;1.0343562960624695;0.0;0.0;-0.14040005207061768;1.0;2.0;0.0;-0.9794449210166931;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8070054650306702;2.6140109300613403;0.0;0.0;-0.4002882242202759;1.0;2.0;0.0;0.7932425141334534;2.5864850282669067;0.0;0.0;-0.27338385581970215;1.0;2.0;0.0;-0.45664310455322266;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.4367676079273224;1.8735352158546448;0.0;0.0;-0.5955904126167297;1.0;2.0;0.0;-0.7782490253448486;1.0;2.0;0.0;-0.6585153937339783;1.0;2.0;0.0;-0.8730369806289673;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.04872255399823189;1.0;2.0;0.0;0.03457982465624809;1.0691596493124962;0.0;0.0;0.4703465700149536;1.9406931400299072;0.0;0.0;0.8847782015800476;2.769556403160095;0.0;0.0;-0.8429430723190308;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9769657850265503;2.9539315700531006;0.0;0.0;-0.8853151798248291;1.0;2.0;0.0;-0.5238534212112427;1.0;2.0;0.0;-0.5296356081962585;1.0;2.0;0.0;0.5873940587043762;2.1747881174087524;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8865209817886353;2.7730419635772705;0.0;0.0;0.21832087635993958;1.4366417527198792;0.0;0.0;-0.19901785254478455;1.0;2.0;0.0;-0.09543683379888535;1.0;2.0;0.0;-0.49807319045066833;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.14157690107822418;1.2831538021564484;0.0;0.0;0.353987455368042;1.707974910736084;0.0;0.0;-0.18189913034439087;1.0;2.0;0.0;-0.7603893876075745;1.0;2.0;0.0;0.8492124080657959;2.698424816131592;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5287404656410217;1.0;2.0;0.0;0.7051028609275818;2.4102057218551636;0.0;0.0;0.20835661888122559;1.4167132377624512;0.0;0.0;0.30379003286361694;1.6075800657272339;0.0;0.0;0.1375616490840912;1.2751232981681824;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7793556451797485;1.0;2.0;0.0;0.7799495458602905;2.559899091720581;0.0;0.0;0.032298002392053604;1.0645960047841072;0.0;0.0;-0.058369554579257965;1.0;2.0;0.0;-0.7231706976890564;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8685029745101929;2.7370059490203857;0.0;0.0;-0.5325624942779541;1.0;2.0;0.0;0.7816361784934998;2.5632723569869995;0.0;0.0;0.05729307979345322;1.1145861595869064;0.0;0.0;0.03492884710431099;1.069857694208622;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8247583508491516;2.6495167016983032;0.0;0.0;-0.526557445526123;1.0;2.0;0.0;0.9825401306152344;2.9650802612304688;0.0;0.0;0.9474430084228516;2.894886016845703;0.0;0.0;0.5109959244728088;2.0219918489456177;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6291001439094543;1.0;2.0;0.0;0.22091053426265717;1.4418210685253143;0.0;0.0;-0.5150314569473267;1.0;2.0;0.0;0.8279777765274048;2.6559555530548096;0.0;0.0;0.9379426836967468;2.8758853673934937;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8975018858909607;1.0;2.0;0.0;-0.8686108589172363;1.0;2.0;0.0;0.42946386337280273;1.8589277267456055;0.0;0.0;-0.37232115864753723;1.0;2.0;0.0;0.918024480342865;2.83604896068573;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.33945411443710327;1.0;2.0;0.0;0.5993072390556335;2.198614478111267;0.0;0.0;0.6721725463867188;2.3443450927734375;0.0;0.0;-0.07271544635295868;1.0;2.0;0.0;-0.043946653604507446;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5996789336204529;1.0;2.0;0.0;0.9049769639968872;2.8099539279937744;0.0;0.0;0.5141987204551697;2.0283974409103394;0.0;0.0;-0.2784963548183441;1.0;2.0;0.0;0.5862083435058594;2.1724166870117188;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6769591569900513;2.3539183139801025;0.0;0.0;0.6528189778327942;2.3056379556655884;0.0;0.0;-0.006534990388900042;1.0;2.0;0.0;0.49956128001213074;1.9991225600242615;0.0;0.0;0.4589438736438751;1.9178877472877502;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.3946288526058197;1.0;2.0;0.0;0.5485958456993103;2.0971916913986206;0.0;0.0;-0.026066338643431664;1.0;2.0;0.0;0.1432705819606781;1.2865411639213562;0.0;0.0;0.8649165630340576;2.7298331260681152;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9855315685272217;2.9710631370544434;0.0;0.0;-0.5865312814712524;1.0;2.0;0.0;0.4131756126880646;1.8263512253761292;0.0;0.0;0.8608212471008301;2.72164249420166;0.0;0.0;-0.7809200882911682;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7172554135322571;1.0;2.0;0.0;-0.054227445274591446;1.0;2.0;0.0;-0.07943262159824371;1.0;2.0;0.0;-0.2893369495868683;1.0;2.0;0.0;-0.755394458770752;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.43845728039741516;1.8769145607948303;0.0;0.0;0.19946007430553436;1.3989201486110687;0.0;0.0;-0.7375717759132385;1.0;2.0;0.0;0.8616104125976562;2.7232208251953125;0.0;0.0;0.12699304521083832;1.2539860904216766;0.0;0.0
