	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	nash_utilities	monopoly_utilities	metric_history
10	[1.9846177350400278, 1.4231455292829114]	[0.08780297475062294, 0.8296336386116021]	[-1.1912514644539844, 1.1184083076339268]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.036421578410028695
11	[1.5347035316100612, 2.040377820592332]	[0.7765263619832049, 0.10273300475346325]	[1.678407393834746, -1.0129335878419081]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.3327369029964189
12	[1.5324397183541112, 1.6088020853030394]	[0.52885467083118, 0.3896559623540678]	[0.5119991849442694, 0.12479249524200307]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.31839584009313615
13	[2.0669802281107286, 1.4047653851727262]	[0.06080821252520129, 0.8597006317504815]	[-1.379541358432963, 1.0915350039244198]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.14400317725427153
14	[1.9851177924202803, 1.4044115621025304]	[0.08232709864392261, 0.840103620015657]	[-1.2379544935140745, 1.0197021903945311]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.10912615155977176
15	[1.68385382134987, 1.6709533052364625]	[0.42820809144998834, 0.4508845575844609]	[0.610184717674739, 0.6947729083990184]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6524788130368787
16	[1.9598135078023435, 1.9585931572269024]	[0.35009081664548525, 0.3518039285562167]	[0.9871812497343951, 0.9977862037528039]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9924837267435995
17	[1.6508523823621786, 1.888160576163288]	[0.6118164891483928, 0.2367961413754493]	[1.5299384299255578, -0.1101016440691121]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.709918392928223
18	[2.0179034549450874, 1.752542769818596]	[0.2014188470255862, 0.5822088874486564]	[-0.15625982931562857, 1.8785203504343873]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8611302605593794
19	[1.968555213048732, 1.4277240502385558]	[0.09450166877699073, 0.8221658548552409]	[-1.1469292803945468, 1.1236834843308108]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.011622898031868084
20	[1.8643789733907736, 1.8319494135527266]	[0.36767274296648356, 0.4185981943490173]	[0.8282016527962898, 1.093939471657072]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9610705622266809
21	[1.9015048516843824, 1.9784202911887854]	[0.415018510116611, 0.30510664276639055]	[1.319915549824475, 0.659858267382694]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9898869086035849
22	[1.5304901466762075, 1.9751131230446073]	[0.7565542793348226, 0.12777646573259777]	[1.557367435392013, -0.8583003699800315]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.34953353270599075
23	[2.0704199406789487, 2.065648622426933]	[0.29898737891388344, 0.30474843546508845]	[0.8476970283144394, 0.8888330421411761]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8682650352278077
24	[1.7928174355710889, 1.5703719833662122]	[0.2583177212503434, 0.6288999070859737]	[-0.1582338119800088, 1.1851931232308588]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5134796556254251
25	[2.0820979457903803, 1.7204314019566636]	[0.15065553269884116, 0.6401241652577901]	[-0.5228756190703987, 2.079530277953105]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7783273294413532
26	[2.0423643522345643, 1.8956668298056651]	[0.25107529597751893, 0.45148536936976724]	[0.33854741549878437, 1.5838668958502258]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9612071556745053
27	[2.044985121496392, 2.086511829713307]	[0.32850411903698595, 0.2782284514148523]	[1.0505522447878333, 0.6928178373613698]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8716850410746015
28	[1.7903818092512636, 1.6513029113295679]	[0.3148015408807687, 0.5490876062533238]	[0.22595926046183218, 1.1757265131793477]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7008428868205897
29	[1.4939710238658201, 1.9104958115391202]	[0.7569487441718641, 0.14305031067685184]	[1.317903969923356, -0.8089811244220128]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.2544614227506718
30	[1.9579905922343812, 1.5015636886435433]	[0.12418491567501484, 0.7708388400910546]	[-0.9074304412910801, 1.428881659832027]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.26072560927047356
31	[1.426080405250841, 1.9765208016558347]	[0.8255584965573212, 0.09131349053506695]	[1.124505640765209, -1.1675340522964328]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.02151420576561207
