	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
54	[2.8843162059783936, 7.1134514808654785]	[0.11568379402160645, 0]	[0.21798484784397942, 0.0]	1	2.0	1	0.10899242392198971
55	[3.394155740737915, 7.35856819152832]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
56	[9.117172241210938, 4.119843482971191]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
57	[2.8233816623687744, 4.675360679626465]	[0.17661833763122559, 0]	[0.3220426380748336, 0.0]	1	2.0	1	0.1610213190374168
58	[3.514147996902466, 3.497147560119629]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
59	[8.9766206741333, 3.493591785430908]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
60	[2.4564108848571777, 2.867483139038086]	[0.5435891151428223, 0]	[0.791689104183888, 0.0]	1	2.0	1	0.395844552091944
61	[6.549717426300049, 6.982638359069824]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
62	[7.361811637878418, 7.218181610107422]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
63	[3.751657247543335, 7.811160087585449]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
64	[2.325889825820923, 2.8199450969696045]	[0.6741101741790771, 0]	[0.8937958214264086, 0.0]	1	2.0	1	0.4468979107132043
65	[4.555912971496582, 7.102708339691162]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
66	[4.062375545501709, 6.624422073364258]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
67	[6.3924055099487305, 2.452147960662842]	[0, 0.5478520393371582]	[0.0, 0.7955622216684333]	1	2.0	1	0.39778111083421663
68	[8.533548355102539, 2.5719223022460938]	[0, 0.42807769775390625]	[0.0, 0.6729048801935278]	1	2.0	1	0.3364524400967639
69	[8.050078392028809, 8.192826271057129]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
70	[2.380659818649292, 4.647496700286865]	[0.619340181350708, 0]	[0.8550981024658881, 0.0]	1	2.0	1	0.42754905123294407
71	[2.3656790256500244, 4.533117294311523]	[0.6343209743499756, 0]	[0.8662788501996488, 0.0]	1	2.0	1	0.4331394250998244
72	[5.093904972076416, 4.098094940185547]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
73	[6.8155364990234375, 2.536670684814453]	[0, 0.4633293151855469]	[0.0, 0.7119845760607859]	1	2.0	1	0.35599228803039296
74	[9.794245719909668, 2.7068355083465576]	[0, 0.2931644916534424]	[0.0, 0.5003835641404635]	1	2.0	1	0.25019178207023174
75	[10.57223129272461, 7.658131122589111]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
76	[9.506771087646484, 11.011388778686523]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
77	[4.6653947830200195, 4.550350666046143]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
