,monopoly,nash,metric,prices_0,actions_0,rewards_0,prices_1,actions_1,rewards_1
0,2.0,1.0,0.4705544661983502,1.844467524937751,0.0,0.09206052258686538,1.8627975115199857,0.0,0.29442007609689136
1,2.0,1.0,0.5523346703689126,1.8245438960758562,0.0,0.21439432356317364,1.8344567580170084,0.0,0.29663595185772795
2,2.0,1.0,0.6201874492544531,2.0720039289208536,0.0,0.18471018203539477,1.82213585499622,0.0,0.3989923587992654
3,2.0,1.0,0.5999869409185081,1.9359463994268027,0.0,0.2723489467628031,2.029612153928376,0.0,0.29690675934225075
4,2.0,1.0,0.6623351896938406,2.128184356772099,0.0,0.24834079960280295,2.0038211373628982,0.0,0.40249296832550585
5,2.0,1.0,0.6162824286148573,1.9993103928890985,0.0,0.2945525634638388,2.0814608461272277,0.0,0.3069202406942664
6,2.0,1.0,0.6012275648648976,2.0714311196673787,0.0,0.22916053619475044,2.026686384793374,0.0,0.3456501918820332
7,2.0,1.0,0.6095802057380773,1.9076215081685033,0.0,0.3248906522588906,2.119283976291208,0.0,0.24925254066575028
8,2.0,1.0,0.5716963619737567,2.068980016584242,0.0,0.2806735587171037,2.0753857892157836,0.0,0.2585994550404842
9,2.0,1.0,0.5756140037546367,2.0933915385571074,0.0,0.27836576868734086,2.094160260268389,0.0,0.2615148536589811
10,2.0,1.0,0.54622461009397,2.0511662154981987,0.0,0.22576243226027215,2.06405055267077,0.0,0.2880542674651635
11,2.0,1.0,0.610988737040824,2.110655659683185,0.0,0.2846156934976401,2.201347464195413,0.0,0.2982900977673807
12,2.0,1.0,0.6428997152935326,2.1272867885448203,0.0,0.3569478220080618,2.090980023107668,0.0,0.24788814790280742
13,2.0,1.0,0.60413599054898,2.0277769172025746,0.0,0.2921907339314136,2.0509115026155986,0.0,0.2696592347097065
14,2.0,1.0,0.6317659970076334,2.045035631213336,0.0,0.2716511902545783,2.024776728272813,0.0,0.3348764511171596
15,2.0,1.0,0.6460212173500607,2.071885634494499,0.0,0.26144484333220996,2.1434253051085266,0.0,0.3547569423868917
16,2.0,1.0,0.6065300420965172,2.0916451477671556,0.0,0.26523480070468397,1.9506616865143374,0.0,0.3087471983234576
17,2.0,1.0,0.5901695518891543,2.0604325800032712,0.0,0.2842893937557472,2.1288141200376214,0.0,0.2690317653733138
18,2.0,1.0,0.6062405658524251,2.0968100371518976,0.0,0.3320013684417512,2.007099792401654,0.0,0.25157270472685367
19,2.0,1.0,0.562915180401501,2.0330651784694482,0.0,0.239151052156091,2.114486301675572,0.0,0.2921968069992517
20,2.0,1.0,0.5371308505702764,2.1500573373768628,0.0,0.19463353284986426,1.9950857445025523,0.0,0.3017310984853858
21,2.0,1.0,0.5402867315890351,1.9068456704242807,0.0,0.2568668203171827,2.0509410350559185,0.0,0.2324445834156113
22,2.0,1.0,0.5769801851747757,2.160501069996276,0.0,0.25443125667255634,2.0528382103479585,0.0,0.29072485281001376
23,2.0,1.0,0.6010078720673365,2.0853856784288083,0.0,0.37372486207653416,2.1847370302036024,0.0,0.19787883832552455
24,2.0,1.0,0.5317424944899026,2.121494904196046,0.0,0.22259803005089154,2.0783621071259653,0.0,0.2622776234812768
25,2.0,1.0,0.4794225381784753,2.099011312779163,0.0,0.15419019753015467,2.0319679142121623,0.0,0.28276409303408045
26,2.0,1.0,0.6237672215461292,2.1809452080815075,0.0,0.27813807478582775,2.0469666802441084,0.0,0.3215679637223799
27,2.0,1.0,0.5968336330766035,2.0536883508571684,0.0,0.3224490928748802,2.08223407930424,0.0,0.23338429544625566
28,2.0,1.0,0.5989518103574852,2.050732359495896,0.0,0.33359027649886025,2.0509916376184303,0.0,0.23262158228322305
