	prices_history	monopoly_history	nash_history	rewards_history	metric_history
39	[1.5252553224563599, 1.602327585220337]	1.9249809213956623	1.4729266600306228	[0.278735156788467, 0.23483661265867684]	0.295549072631577
40	[1.2134076356887817, 1.2969131469726562]	1.9249809213956623	1.4729266600306228	[0.12132010064047823, 0.12086159035397596]	-0.8889004641708134
41	[2.169851303100586, 1.4435317516326904]	1.9249809213956623	1.4729266600306228	[0.05506988920984674, 0.38146486957321724]	-0.04066974611796987
42	[2.2466318607330322, 1.2887662649154663]	1.9249809213956623	1.4729266600306228	[0.02502681119714135, 0.26742174678906594]	-0.6695167355380497
43	[2.2534713745117188, 1.315307378768921]	1.9249809213956623	1.4729266600306228	[0.027020026334351743, 0.28977657003875995]	-0.5632526342347179
44	[1.917067527770996, 2.0403692722320557]	1.9249809213956623	1.4729266600306228	[0.39387080913527495, 0.27286191769259566]	0.9640017517424582
45	[1.410038948059082, 2.2574901580810547]	1.9249809213956623	1.4729266600306228	[0.3634613117534262, 0.037580636969886894]	-0.19557387037620322
46	[1.3358210325241089, 1.588716745376587]	1.9249809213956623	1.4729266600306228	[0.2342140156185567, 0.14930918545905658]	-0.2720323490818808
47	[1.9199339151382446, 1.820975661277771]	1.9249809213956623	1.4729266600306228	[0.28644293228097756, 0.37976930270433246]	0.9617301273509355
48	[1.6025350093841553, 1.2175241708755493]	1.9249809213956623	1.4729266600306228	[0.10266843037119512, 0.1728997992150573]	-0.7431889098061455
49	[1.4794130325317383, 2.155255079269409]	1.9249809213956623	1.4729266600306228	[0.4023214886961123, 0.06493568021897111]	0.09341453823683589
50	[1.9927736520767212, 1.6437808275222778]	1.9249809213956623	1.4729266600306228	[0.16517586004474039, 0.4326104487925631]	0.6630933570114863
51	[1.386779546737671, 1.1788005828857422]	1.9249809213956623	1.4729266600306228	[0.1143045995246398, 0.12141311509617152]	-0.9171117159060075
52	[1.846136212348938, 2.1064865589141846]	1.9249809213956623	1.4729266600306228	[0.4468979139020622, 0.20627154071989057]	0.9048064724845809
53	[2.2361562252044678, 2.217142343521118]	1.9249809213956623	1.4729266600306228	[0.26579026354510793, 0.2823823671889955]	0.44656039315576335
54	[1.1824743747711182, 2.049499034881592]	1.9249809213956623	1.4729266600306228	[0.17066778507049948, 0.03060240858432265]	-1.0674538009401486
55	[1.8669239282608032, 1.2132236957550049]	1.9249809213956623	1.4729266600306228	[0.0568409623869934, 0.19103349180823762]	-0.8640550800848168
56	[1.8697178363800049, 1.3327468633651733]	1.9249809213956623	1.4729266600306228	[0.08559742255406662, 0.28055008416320437]	-0.3478664888340276
57	[1.4896992444992065, 1.4722548723220825]	1.9249809213956623	1.4729266600306228	[0.2223740602590802, 0.22995090196378415]	0.02824470814992049
58	[2.234255790710449, 2.092961311340332]	1.9249809213956623	1.4729266600306228	[0.23234655505483603, 0.3620674673463298]	0.6483754162156348
59	[1.3613709211349487, 1.3944027423858643]	1.9249809213956623	1.4729266600306228	[0.18494291330719398, 0.17686515013250695]	-0.36680546998397434
60	[2.2880859375, 2.021182060241699]	1.9249809213956623	1.4729266600306228	[0.18208633168672902, 0.41985101634106115]	0.6812100710581191
61	[1.926937222480774, 1.3683874607086182]	1.9249809213956623	1.4729266600306228	[0.08361648551919261, 0.3103464231170116]	-0.22646949412187153
62	[2.269773006439209, 2.150527238845825]	1.9249809213956623	1.4729266600306228	[0.22865554625950307, 0.3338133262184937]	0.5089546302926277
63	[1.3847289085388184, 1.4264121055603027]	1.9249809213956623	1.4729266600306228	[0.19915894958114608, 0.18683722241792025]	-0.2612393632839439
