	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
0	[5.003849983215332, 9.61569595336914]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
1	[10.574174880981445, 8.228659629821777]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
2	[10.642745018005371, 2.2728278636932373]	[0, 0.7271721363067627]	[0.0, 0.9255649567925843]	1	2.0	1	0.46278247839629216
3	[10.210348129272461, 2.9643335342407227]	[0, 0.035666465759277344]	[0.0, 0.07006083473879698]	1	2.0	1	0.03503041736939849
4	[4.690623760223389, 10.54516315460205]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
5	[3.402881383895874, 3.400022029876709]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
6	[3.882563829421997, 3.473731279373169]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
7	[8.00094223022461, 4.3454718589782715]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
8	[2.5376203060150146, 3.807326078414917]	[0.46237969398498535, 0]	[0.710964406560322, 0.0]	1	2.0	1	0.355482203280161
9	[2.6160380840301514, 4.175596237182617]	[0.38396191596984863, 0]	[0.6204970790244602, 0.0]	1	2.0	1	0.3102485395122301
10	[7.988674640655518, 3.69838547706604]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
11	[6.144170761108398, 8.747282981872559]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
12	[3.480710506439209, 2.923419952392578]	[0, 0.07658004760742188]	[0.0, 0.14729559152328875]	1	2.0	1	0.07364779576164437
13	[3.9395735263824463, 10.753750801086426]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
14	[4.320438385009766, 5.429581642150879]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
15	[9.68630599975586, 6.799298286437988]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
16	[2.785432815551758, 3.1324756145477295]	[0.2145671844482422, 0]	[0.3830952922544384, 0.0]	1	2.0	1	0.1915476461272192
17	[10.847898483276367, 8.712499618530273]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
18	[2.8669166564941406, 2.730795383453369]	[0, 0.26920461654663086]	[0.0, 0.46593810752324316]	1	2.0	1	0.23296905376162158
19	[3.3425557613372803, 6.504660606384277]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
20	[3.1364805698394775, 4.444960117340088]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
21	[9.770903587341309, 4.4064459800720215]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
22	[2.378462791442871, 4.696249008178711]	[0.6215372085571289, 0]	[0.8567659154932699, 0.0]	1	2.0	1	0.42838295774663493
23	[2.646195411682129, 9.361920356750488]	[0.3538045883178711, 0]	[0.5824314899209639, 0.0]	1	2.0	1	0.29121574496048197
24	[2.3464012145996094, 5.192831039428711]	[0.6535987854003906, 0]	[0.8800061985239154, 0.0]	1	2.0	1	0.4400030992619577
25	[8.992339134216309, 4.286105155944824]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
26	[7.830667495727539, 6.662447452545166]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
27	[8.90989875793457, 3.6109352111816406]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
28	[10.185144424438477, 10.865912437438965]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
29	[10.413575172424316, 6.228935718536377]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
30	[3.5451719760894775, 4.87483024597168]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
31	[10.594132423400879, 3.9344401359558105]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
32	[2.2477784156799316, 6.599457740783691]	[0.7522215843200684, 0]	[0.938605856723143, 0.0]	1	2.0	1	0.4693029283615715
33	[4.92777156829834, 9.920282363891602]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
34	[10.229841232299805, 4.722163677215576]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
35	[9.733951568603516, 8.871728897094727]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
36	[8.046387672424316, 6.8485941886901855]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
37	[4.301281929016113, 6.337580680847168]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
38	[8.888891220092773, 3.244617223739624]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
39	[3.847226142883301, 4.369067192077637]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
40	[8.938864707946777, 5.75886869430542]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
41	[8.105279922485352, 7.389822483062744]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
42	[10.241357803344727, 2.357572078704834]	[0, 0.642427921295166]	[0.0, 0.872142208530704]	1	2.0	1	0.436071104265352
43	[2.8213605880737305, 7.364719390869141]	[0.17863941192626953, 0]	[0.32536678435917565, 0.0]	1	2.0	1	0.16268339217958783
44	[4.170339584350586, 3.520766496658325]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
45	[5.417077541351318, 8.411450386047363]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
46	[9.126544952392578, 8.511879920959473]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
47	[5.324118137359619, 6.2474212646484375]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
48	[4.49824333190918, 4.340246200561523]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
49	[9.867755889892578, 2.708805561065674]	[0, 0.29119443893432617]	[0.0, 0.49759467660237533]	1	2.0	1	0.24879733830118766
50	[2.9656379222869873, 3.8902454376220703]	[0.034362077713012695, 0]	[0.06754340304127027, 0.0]	1	2.0	1	0.03377170152063513
51	[8.925504684448242, 6.888894557952881]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
52	[10.353514671325684, 8.345993041992188]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
53	[4.265439987182617, 6.594842910766602]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
54	[8.59732723236084, 3.7055771350860596]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
55	[9.62462043762207, 4.8365559577941895]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
56	[6.7036519050598145, 2.3671202659606934]	[0, 0.6328797340393066]	[0.0, 0.8652227103209498]	1	2.0	1	0.4326113551604749
57	[3.425107955932617, 8.426407814025879]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
58	[2.248136043548584, 4.93793249130249]	[0.751863956451416, 0]	[0.9384285038920552, 0.0]	1	2.0	1	0.4692142519460276
59	[4.017740726470947, 6.581071376800537]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
60	[9.388206481933594, 10.016355514526367]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
61	[4.10959529876709, 5.4145097732543945]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
62	[6.797070503234863, 9.886238098144531]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
63	[9.89787483215332, 3.6003048419952393]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
