	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
0	[6.45725154876709, 2.379725217819214]	[0, 0.6202747821807861]	[0.0, 0.8558087589521506]	1	2.0	1	0.4279043794760753
1	[3.1880548000335693, 9.977713584899902]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
2	[5.05952262878418, 7.387641429901123]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
3	[10.616045951843262, 2.3613758087158203]	[0, 0.6386241912841797]	[0.0, 0.8694075248749868]	1	2.0	1	0.4347037624374934
4	[9.045208930969238, 8.141800880432129]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
5	[2.948340654373169, 5.025177001953125]	[0.051659345626831055, 0]	[0.10065000326306972, 0.0]	1	2.0	1	0.05032500163153486
6	[9.344520568847656, 2.500950574874878]	[0, 0.49904942512512207]	[0.0, 0.7490485215325293]	1	2.0	1	0.37452426076626466
7	[9.043205261230469, 2.268160581588745]	[0, 0.7318394184112549]	[0.0, 0.928089902481986]	1	2.0	1	0.464044951240993
8	[3.2851722240448, 2.3085005283355713]	[0, 0.6914994716644287]	[0.0, 0.9048274240166734]	1	2.0	1	0.4524137120083367
9	[4.848634719848633, 4.000302791595459]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
10	[9.425389289855957, 5.2472076416015625]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
11	[4.118634223937988, 5.590748310089111]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
12	[4.250499725341797, 8.338872909545898]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
13	[10.337848663330078, 2.785372734069824]	[0, 0.21462726593017578]	[0.0, 0.38318966857968917]	1	2.0	1	0.19159483428984458
14	[7.72516393661499, 6.00642204284668]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
15	[6.342316150665283, 10.388887405395508]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
16	[5.896960735321045, 4.7982306480407715]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
17	[9.41304874420166, 6.288225173950195]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
18	[2.351454019546509, 10.967133522033691]	[0.6485459804534912, 0]	[0.8764800721446022, 0.0]	1	2.0	1	0.4382400360723011
19	[2.765486240386963, 8.231014251708984]	[0.2345137596130371, 0]	[0.41403081577823286, 0.0]	1	2.0	1	0.20701540788911643
20	[4.281090259552002, 3.03399920463562]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
21	[10.519513130187988, 2.980203628540039]	[0, 0.019796371459960938]	[0.0, 0.03920084659694112]	1	2.0	1	0.01960042329847056
22	[2.466681480407715, 2.4382193088531494]	[0, 0.5617806911468506]	[0.0, 0.807963837348268]	1	2.0	1	0.403981918674134
23	[8.466841697692871, 3.048644542694092]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
24	[5.544131278991699, 10.075965881347656]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
25	[5.01481294631958, 4.092851161956787]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
26	[7.165102958679199, 7.798256874084473]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
27	[2.4795753955841064, 7.186656475067139]	[0.5204246044158936, 0]	[0.7700074399503478, 0.0]	1	2.0	1	0.3850037199751739
28	[7.29779577255249, 2.61381196975708]	[0, 0.3861880302429199]	[0.0, 0.6232348657829334]	1	2.0	1	0.3116174328914667
29	[2.8982489109039307, 10.916853904724121]	[0.10175108909606934, 0]	[0.19314889405990243, 0.0]	1	2.0	1	0.09657444702995122
30	[7.1333327293396, 4.096735954284668]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
31	[2.300917625427246, 2.7951998710632324]	[0.6990823745727539, 0]	[0.9094485827072276, 0.0]	1	2.0	1	0.4547242913536138
32	[2.5292253494262695, 8.799784660339355]	[0.47077465057373047, 0]	[0.7199205295246429, 0.0]	1	2.0	1	0.35996026476232146
33	[10.807134628295898, 6.444019794464111]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
34	[10.329854965209961, 4.056626796722412]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
35	[4.0068769454956055, 5.256437301635742]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
36	[4.489041328430176, 3.7355549335479736]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
37	[4.138147354125977, 2.919738292694092]	[0, 0.0802617073059082]	[0.0, 0.15408147295215713]	1	2.0	1	0.07704073647607856
38	[3.520779848098755, 4.447037696838379]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
39	[10.520912170410156, 8.14112663269043]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
40	[6.57818078994751, 3.4768741130828857]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
41	[8.448515892028809, 7.829246520996094]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
42	[7.729763984680176, 2.741994619369507]	[0, 0.25800538063049316]	[0.0, 0.44944398482670067]	1	2.0	1	0.22472199241335034
43	[7.513736248016357, 6.5530290603637695]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
44	[3.732023239135742, 2.3885209560394287]	[0, 0.6114790439605713]	[0.0, 0.8490514667182083]	1	2.0	1	0.42452573335910415
45	[2.942854404449463, 7.900639057159424]	[0.05714559555053711, 0]	[0.11102557201024865, 0.0]	1	2.0	1	0.055512786005124326
46	[9.889383316040039, 2.3048243522644043]	[0, 0.6951756477355957]	[0.0, 0.9070821142665864]	1	2.0	1	0.4535410571332932
47	[4.757924556732178, 2.735813856124878]	[0, 0.26418614387512207]	[0.0, 0.45857796913463744]	1	2.0	1	0.22928898456731872
48	[2.3821895122528076, 2.560649871826172]	[0.6178104877471924, 0]	[0.853931176723961, 0.0]	1	2.0	1	0.4269655883619805
49	[6.755431652069092, 5.756863117218018]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
50	[3.9100773334503174, 4.1121697425842285]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
51	[4.999665260314941, 5.1796183586120605]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
52	[5.227858543395996, 5.912495136260986]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
53	[2.478426694869995, 2.3529701232910156]	[0, 0.6470298767089844]	[0.0, 0.8754120920639252]	1	2.0	1	0.4377060460319626
54	[4.339512825012207, 4.01071834564209]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
