costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1;actions_2;prices_2;quantities_2;rewards_2;actions_3;prices_3;quantities_3;rewards_3;actions_4;prices_4;quantities_4;rewards_4;actions_5;prices_5;quantities_5;rewards_5;actions_6;prices_6;quantities_6;rewards_6;actions_7;prices_7;quantities_7;rewards_7;actions_8;prices_8;quantities_8;rewards_8;actions_9;prices_9;quantities_9;rewards_9
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.47311413288116455;1.0;2.0;0.0;0.1474316269159317;1.2948632538318634;0.0;0.0;0.8989418745040894;2.7978837490081787;0.0;0.0;0.993276834487915;2.98655366897583;0.0;0.0;-0.005682450253516436;1.0;2.0;0.0;-0.08801065385341644;1.0;2.0;0.0;-0.5337902307510376;1.0;2.0;0.0;-0.9882281422615051;1.0;2.0;0.0;0.4793711304664612;1.9587422609329224;0.0;0.0;-0.395781934261322;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.18239349126815796;1.0;2.0;0.0;-0.480716735124588;1.0;2.0;0.0;-0.7166601419448853;1.0;2.0;0.0;0.15609928965568542;1.3121985793113708;0.0;0.0;-0.882387101650238;1.0;2.0;0.0;-0.06873844563961029;1.0;2.0;0.0;0.9171035289764404;2.834207057952881;0.0;0.0;-0.37084829807281494;1.0;2.0;0.0;-0.30520716309547424;1.0;2.0;0.0;0.6750668883323669;2.350133776664734;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.1281425952911377;1.0;2.0;0.0;0.778831958770752;2.557663917541504;0.0;0.0;0.5189180970191956;2.037836194038391;0.0;0.0;-0.27771493792533875;1.0;2.0;0.0;-0.6905085444450378;1.0;2.0;0.0;-0.005629010032862425;1.0;2.0;0.0;-0.07316751033067703;1.0;2.0;0.0;-0.6462087631225586;1.0;2.0;0.0;0.12336815148591995;1.24673630297184;0.0;0.0;0.7041601538658142;2.4083203077316284;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.07265246659517288;1.1453049331903458;0.0;0.0;-0.5126897692680359;1.0;2.0;0.0;-0.9785267114639282;1.0;2.0;0.0;-0.4931486248970032;1.0;2.0;0.0;-0.7282793521881104;1.0;2.0;0.0;-0.3407089412212372;1.0;2.0;0.0;-0.8389511704444885;1.0;2.0;0.0;-0.7230358123779297;1.0;2.0;0.0;-0.39563223719596863;1.0;2.0;0.0;-0.03145532310009003;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.03772234544157982;1.0;2.0;0.0;0.42497849464416504;1.84995698928833;0.0;0.0;-0.8778654932975769;1.0;2.0;0.0;0.7252002358436584;2.450400471687317;0.0;0.0;-0.7115957736968994;1.0;2.0;0.0;0.780249297618866;2.560498595237732;0.0;0.0;0.3968927264213562;1.7937854528427124;0.0;0.0;0.9882887005805969;2.976577401161194;0.0;0.0;-0.08493801206350327;1.0;2.0;0.0;0.8292098641395569;2.6584197282791138;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7329402565956116;2.465880513191223;0.0;0.0;-0.743851900100708;1.0;2.0;0.0;-0.28334784507751465;1.0;2.0;0.0;0.6847703456878662;2.3695406913757324;0.0;0.0;0.4349135756492615;1.869827151298523;0.0;0.0;-0.9855107665061951;1.0;2.0;0.0;0.7153543829917908;2.4307087659835815;0.0;0.0;-0.5298373103141785;1.0;2.0;0.0;-0.8457318544387817;1.0;2.0;0.0;0.637276291847229;2.274552583694458;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.28047576546669006;1.0;2.0;0.0;0.41213005781173706;1.8242601156234741;0.0;0.0;0.9605411887168884;2.921082377433777;0.0;0.0;-0.4801262319087982;1.0;2.0;0.0;-0.9260991811752319;1.0;2.0;0.0;0.3094191253185272;1.6188382506370544;0.0;0.0;0.8269951939582825;2.653990387916565;0.0;0.0;0.5615991950035095;2.123198390007019;0.0;0.0;-0.0825885459780693;1.0;2.0;0.0;-0.738629162311554;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.30088528990745544;1.0;2.0;0.0;-0.04985702782869339;1.0;2.0;0.0;-0.7994650602340698;1.0;2.0;0.0;0.9221569299697876;2.844313859939575;0.0;0.0;0.5277298092842102;2.0554596185684204;0.0;0.0;0.49185481667518616;1.9837096333503723;0.0;0.0;-0.6512264609336853;1.0;2.0;0.0;-0.7197977900505066;1.0;2.0;0.0;-0.1350400298833847;1.0;2.0;0.0;0.8974065780639648;2.7948131561279297;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5667309165000916;1.0;2.0;0.0;0.7102888226509094;2.420577645301819;0.0;0.0;0.6051309704780579;2.2102619409561157;0.0;0.0;0.14614832401275635;1.2922966480255127;0.0;0.0;0.6927794218063354;2.385558843612671;0.0;0.0;0.9817816615104675;2.963563323020935;0.0;0.0;0.9154345989227295;2.830869197845459;0.0;0.0;-0.7904297113418579;1.0;2.0;0.0;0.09691884368658066;1.1938376873731613;0.0;0.0;-0.6701462268829346;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7455736994743347;2.4911473989486694;0.0;0.0;0.5383554697036743;2.0767109394073486;0.0;0.0;-0.006640193052589893;1.0;2.0;0.0;0.1659233719110489;1.3318467438220978;0.0;0.0;0.7366478443145752;2.4732956886291504;0.0;0.0;0.9843518733978271;2.9687037467956543;0.0;0.0;-0.2917599380016327;1.0;2.0;0.0;-0.12114274501800537;1.0;2.0;0.0;0.8217892050743103;2.6435784101486206;0.0;0.0;-0.5010169744491577;1.0;2.0;0.0
